pdf_name,table_query,note_number,located_title,row_order,row_type,row_level,parent_section,raw_item,normalized_item,canonical_item,mapping_status,year,scope,restated,header_raw,value_raw,value,value_yuan,unit,original_unit,page,header_source_page,source_method
4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",1,DETAIL,0,,职工薪酬,职工薪酬,,UNMAPPED,2022.0,,False,2022.0,"902,706.32",902706.32,,,,106,,spatial_roi+column_anchors
4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",1,DETAIL,0,,职工薪酬,职工薪酬,,UNMAPPED,2021.0,,False,2021.0,"877,505.10",877505.1,,,,106,,spatial_roi+column_anchors
4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",2,DETAIL,0,,社会保险费,社会保险费,,UNMAPPED,2022.0,,False,2022.0,"293,919.25",293919.25,,,,106,,spatial_roi+column_anchors
4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",2,DETAIL,0,,社会保险费,社会保险费,,UNMAPPED,2021.0,,False,2021.0,"261,593.51",261593.51,,,,106,,spatial_roi+column_anchors
4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",3,DETAIL,0,,折旧和摊销费,折旧和摊销费,,UNMAPPED,2022.0,,False,2022.0,"231,361.65",231361.65,,,,106,,spatial_roi+column_anchors
4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",3,DETAIL,0,,折旧和摊销费,折旧和摊销费,,UNMAPPED,2021.0,,False,2021.0,"204,498.59",204498.59,,,,106,,spatial_roi+column_anchors
4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",4,DETAIL,0,,行政办公支出,行政办公支出,,UNMAPPED,2022.0,,False,2022.0,"125,801.71",125801.71,,,,106,,spatial_roi+column_anchors
4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",4,DETAIL,0,,行政办公支出,行政办公支出,,UNMAPPED,2021.0,,False,2021.0,"159,913.01",159913.01,,,,106,,spatial_roi+column_anchors
4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",5,DETAIL,0,,劳动保险费,劳动保险费,,UNMAPPED,2022.0,,False,2022.0,"64,372.15",64372.15,,,,106,,spatial_roi+column_anchors
4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",5,DETAIL,0,,劳动保险费,劳动保险费,,UNMAPPED,2021.0,,False,2021.0,"55,962.92",55962.92,,,,106,,spatial_roi+column_anchors
