normalized_item,example_raw_item,canonical_item,category,mapping_status,mapping_note
职工工资及福利费,职工工资及福利费,,,UNMAPPED,
保险保障基金,保险保障基金(注),,,UNMAPPED,
社会统筹保险费,社会统筹保险费,,,UNMAPPED,
使用权资产折旧费,使用权资产折旧费,,,UNMAPPED,
专业外包服务费,专业外包服务费,,,UNMAPPED,
电子设备运转费,电子设备运转费,,,UNMAPPED,
营销培训费,营销培训费,,,UNMAPPED,
租赁费,租赁费,,,UNMAPPED,
无形资产摊销,无形资产摊销,,,UNMAPPED,
宣传费,宣传费,,,UNMAPPED,
长期待摊费用摊销,长期待摊费用摊销,,,UNMAPPED,
固定资产折旧费,固定资产折旧费,,,UNMAPPED,
业务招待费,业务招待费,,,UNMAPPED,
邮电费,邮电费,,,UNMAPPED,
研究费用,研究费用,,,UNMAPPED,
差旅费,差旅费,,,UNMAPPED,
会议费,会议费,,,UNMAPPED,
公杂费,公杂费,,,UNMAPPED,
咨询费,咨询费,,,UNMAPPED,
其他费用,其他费用,,,UNMAPPED,
合计,合计,,,UNMAPPED,
