pdf_name,table_query,note_number,located_title,row_order,row_type,row_level,parent_section,raw_item,normalized_item,canonical_item,mapping_status,column_ordinal,source_column_index,column_dimension_key,year,scope,restated,header_raw,value_raw,value,value_yuan,unit,original_unit,page,header_source_page,source_method
cb203ed177ce_中银三星2023年报.pdf,业务及管理费,,七、 财务报表附注(续)39. 业务及管理费,1,DETAIL,0,,职工工资及福利费,职工工资及福利费,,UNMAPPED,0.0,1.0,2023|本集团|ORIGINAL,2023,本集团,False,本集团及本公司 | 2023,"419,512,944.32",419512944.32,419512944.32,元,元,102,,spatial_roi+column_anchors
cb203ed177ce_中银三星2023年报.pdf,业务及管理费,,七、 财务报表附注(续)39. 业务及管理费,1,DETAIL,0,,职工工资及福利费,职工工资及福利费,,UNMAPPED,1.0,2.0,2022|本公司|ORIGINAL,2022,本公司,False,本公司 | 2022,"421,679,613.34",421679613.34,421679613.34,元,元,102,,spatial_roi+column_anchors
cb203ed177ce_中银三星2023年报.pdf,业务及管理费,,七、 财务报表附注(续)39. 业务及管理费,2,DETAIL,0,,保险保障基金(注),保险保障基金,,UNMAPPED,0.0,1.0,2023|本集团|ORIGINAL,2023,本集团,False,本集团及本公司 | 2023,"82,717,386.01",82717386.01,82717386.01,元,元,102,,spatial_roi+column_anchors
cb203ed177ce_中银三星2023年报.pdf,业务及管理费,,七、 财务报表附注(续)39. 业务及管理费,2,DETAIL,0,,保险保障基金(注),保险保障基金,,UNMAPPED,1.0,2.0,2022|本公司|ORIGINAL,2022,本公司,False,本公司 | 2022,"32,773,167.19",32773167.19,32773167.19,元,元,102,,spatial_roi+column_anchors
cb203ed177ce_中银三星2023年报.pdf,业务及管理费,,七、 财务报表附注(续)39. 业务及管理费,3,DETAIL,0,,社会统筹保险费,社会统筹保险费,,UNMAPPED,0.0,1.0,2023|本集团|ORIGINAL,2023,本集团,False,本集团及本公司 | 2023,"73,994,768.46",73994768.46,73994768.46,元,元,102,,spatial_roi+column_anchors
cb203ed177ce_中银三星2023年报.pdf,业务及管理费,,七、 财务报表附注(续)39. 业务及管理费,3,DETAIL,0,,社会统筹保险费,社会统筹保险费,,UNMAPPED,1.0,2.0,2022|本公司|ORIGINAL,2022,本公司,False,本公司 | 2022,"67,330,294.17",67330294.17,67330294.17,元,元,102,,spatial_roi+column_anchors
cb203ed177ce_中银三星2023年报.pdf,业务及管理费,,七、 财务报表附注(续)39. 业务及管理费,4,DETAIL,0,,使用权资产折旧费,使用权资产折旧费,,UNMAPPED,0.0,1.0,2023|本集团|ORIGINAL,2023,本集团,False,本集团及本公司 | 2023,"64,532,850.43",64532850.43,64532850.43,元,元,102,,spatial_roi+column_anchors
cb203ed177ce_中银三星2023年报.pdf,业务及管理费,,七、 财务报表附注(续)39. 业务及管理费,4,DETAIL,0,,使用权资产折旧费,使用权资产折旧费,,UNMAPPED,1.0,2.0,2022|本公司|ORIGINAL,2022,本公司,False,本公司 | 2022,"67,853,129.62",67853129.62,67853129.62,元,元,102,,spatial_roi+column_anchors
cb203ed177ce_中银三星2023年报.pdf,业务及管理费,,七、 财务报表附注(续)39. 业务及管理费,5,DETAIL,0,,专业外包服务费,专业外包服务费,,UNMAPPED,0.0,1.0,2023|本集团|ORIGINAL,2023,本集团,False,本集团及本公司 | 2023,"38,173,944.02",38173944.02,38173944.02,元,元,102,,spatial_roi+column_anchors
cb203ed177ce_中银三星2023年报.pdf,业务及管理费,,七、 财务报表附注(续)39. 业务及管理费,5,DETAIL,0,,专业外包服务费,专业外包服务费,,UNMAPPED,1.0,2.0,2022|本公司|ORIGINAL,2022,本公司,False,本公司 | 2022,"41,116,618.32",41116618.32,41116618.32,元,元,102,,spatial_roi+column_anchors
